Date, Associations 
1/31/2018,5419 
2/28/2018,5443 
3/31/2018,5470 
4/30/2018,5490 
5/31/2018,5515 
6/30/2018,5530 
7/31/2018,5521 
8/31/2018,5519 
9/30/2018,5502 
10/31/2018,5476 
11/30/2018,5479 
12/31/2018,5466 
1/31/2019,5474 
2/28/2019,5456 
3/31/2019,5467 
4/30/2019,5456 
5/31/2019,5446 
6/30/2019,5439 
7/31/2019,5462 
8/31/2019,5502 
9/30/2019,5552 
10/31/2019,5613 
11/30/2019,5723 
12/31/2019,5826 
1/31/2020,5988 
2/29/2020,6139 
3/31/2020,6271 
4/30/2020,6442 
5/31/2020,6583 
6/30/2020,6711 
7/31/2020,6830 
8/31/2020,6883 
9/30/2020,6967 
10/31/2020,7042 
11/30/2020,7089 
12/31/2020,7108 
1/31/2021,7133 
2/28/2021,7170 
3/31/2021,7215 
4/30/2021,7249 
5/31/2021,7272 
6/30/2021,7298 
7/31/2021,7339 
8/31/2021,7377 
9/30/2021,7411 
10/31/2021,7428 
11/30/2021,7486 
12/31/2021,7514
1/31/2022,7683
2/28/2022,7797
